Sample	tumor.purity	StromalScore	ImmuneScore	ESTIMATEScore	fit	lwr.p	upr.p
804	0.57	138.8280563	1913.240833	2052.068889	0.616735868	0.38006827	0.853403466
805	0.52	739.7146989	1312.736206	2052.450905	0.616691726	0.380024056	0.853359395
806	0.75	343.6709612	1710.179914	2053.850875	0.616529943	0.379862011	0.853197875
807	0.55	496.0996877	1561.714648	2057.814335	0.616071778	0.3794031	0.852740456
808	0.7	613.7806228	1446.05704	2059.837662	0.615837807	0.379168746	0.852506867
809	0.63	193.7623533	1880.660114	2074.422468	0.614149658	0.377477806	0.85082151
810	0.72	803.4139636	1271.347532	2074.761495	0.614110383	0.377438465	0.850782301
811	0.73	743.3328787	1332.394804	2075.727683	0.613998446	0.377326341	0.850670551
812	0.59	554.6594841	1526.748864	2081.408348	0.613340065	0.376666855	0.850013276
813	0.33	-18.33044039	2102.436905	2084.106465	0.613027208	0.376353469	0.849700947
814	0.63	569.7531987	1517.988107	2087.741306	0.612605582	0.375931128	0.849280036
815	0.69	1166.631529	925.419645	2092.051174	0.61210543	0.375430124	0.848780736
816	0.5	762.3910793	1329.932644	2092.323724	0.612073793	0.375398432	0.848749153
817	0.69	646.2036937	1449.234482	2095.438176	0.611712203	0.375036223	0.848388183
818	0.49	157.1498477	1939.673308	2096.823155	0.611551365	0.374875108	0.848227621
819	0.34	241.5404194	1867.90447	2109.44489	0.610084434	0.373405634	0.846763235
820	0.68	62.24035641	2049.861125	2112.101481	0.609775412	0.37309607	0.846454754
821	0.56	50.15431672	2070.247436	2120.401753	0.608809301	0.372128255	0.845490348
822	0.73	647.5259828	1476.83467	2124.360653	0.608348187	0.371666321	0.845030053
823	0.86	297.5469146	1828.323121	2125.870035	0.608172327	0.371490147	0.844854507
824	0.37	553.8931926	1574.605994	2128.499187	0.60786593	0.371183202	0.844548658
825	0.64	732.6574112	1400.891665	2133.549076	0.60727717	0.370593384	0.843960956
826	0.58	553.5206274	1581.842606	2135.363233	0.607065578	0.37038141	0.843749747
827	0.64	892.6056564	1251.386083	2143.99174	0.606058616	0.369372617	0.842744614
828	0.77	665.7080403	1498.69483	2164.402871	0.603672732	0.366982318	0.840363145
829	0.6	849.6202501	1320.517491	2170.137741	0.603001399	0.366309723	0.839693075
830	0.53	140.8084322	2033.347743	2174.156175	0.60253074	0.365838174	0.839223307
831	0.56	832.6195026	1347.269325	2179.888827	0.601858941	0.365165096	0.838552786
832	0.77	1052.109455	1129.36945	2181.478905	0.601672527	0.364978326	0.838366729
833	0.67	914.5563722	1276.017899	2190.574271	0.600605596	0.363909343	0.83730185
834	0.41	317.0617183	1876.318213	2193.379932	0.600276262	0.363579371	0.836973154
835	0.47	741.3113141	1453.473095	2194.784409	0.600111364	0.363414152	0.836808576
836	0.4	661.8040063	1533.38509	2195.189096	0.600063845	0.363366541	0.83676115
837	0.82	393.4194661	1805.369888	2198.789354	0.599641007	0.362942878	0.836339135
838	0.42	738.3401347	1461.396727	2199.736862	0.599529697	0.362831351	0.836228043
839	0.63	1073.243778	1136.357882	2209.60166	0.59837013	0.361669503	0.835070757
840	0.76	825.0652735	1384.59127	2209.656543	0.598363675	0.361663036	0.835064315
841	0.76	610.4304443	1600.811129	2211.241573	0.598177243	0.361476234	0.834878253
842	0.78	605.7943689	1607.355199	2213.149568	0.597952781	0.361251327	0.834654236
843	0.53	445.3204095	1768.544124	2213.864534	0.597868658	0.361167037	0.83457028
844	0.8	628.7777711	1587.380438	2216.158209	0.59759874	0.360896581	0.8343009
845	0.74	751.4161721	1466.333312	2217.749485	0.59741144	0.360708907	0.834113973
846	0.64	-84.40777317	2303.477501	2219.069728	0.597256017	0.360553174	0.833958861
847	0.71	591.8330126	1630.313793	2222.146806	0.596893687	0.360190117	0.833597257
848	0.29	861.5317922	1362.4555	2223.987292	0.59667691	0.359972904	0.833380915
849	0.65	1012.076096	1225.060944	2237.13704	0.595126827	0.358419679	0.831833976
850	0.62	383.4878377	1853.815839	2237.303676	0.59510717	0.358399982	0.831814359
851	0.65	405.7462496	1834.243562	2239.989811	0.594790252	0.358082415	0.831498089
852	0.68	128.3256773	2130.033361	2258.359038	0.59262052	0.355908189	0.829332851
853	0.63	676.9060656	1582.125655	2259.031721	0.592540983	0.355828485	0.82925348
854	0.94	1342.592651	918.7924988	2261.38515	0.592262669	0.355549587	0.82897575
855	0.56	500.9867627	1767.924883	2268.911646	0.59137212	0.354657161	0.82808708
856	0.68	604.3613408	1664.711067	2269.072408	0.591353091	0.354638091	0.82806809
857	0.51	488.9810194	1782.241986	2271.223005	0.591098491	0.354382952	0.827814031
858	0.6	558.1360326	1722.127374	2280.263407	0.590027594	0.35330977	0.826745419
859	0.61	927.8455559	1356.302307	2284.147862	0.589567135	0.352848321	0.82628595
860	0.3	437.5976405	1861.363572	2298.961213	0.587809418	0.351086787	0.82453205
861	0.51	413.242799	1888.923983	2302.166783	0.587428687	0.35070522	0.824152154
862	0.6	552.0360412	1750.490232	2302.526273	0.587385982	0.350662421	0.824109542
863	0.47	668.9333235	1637.066811	2306.000135	0.586973222	0.350248753	0.823697691
864	0.49	553.1804364	1766.704938	2319.885375	0.585321874	0.348593734	0.822050013
865	0.5	-103.0438639	2446.081104	2343.03724	0.582563057	0.345828663	0.819297451
866	0.55	501.6435236	1844.24594	2345.889464	0.582222715	0.345487539	0.818957891
867	0.34	491.5310419	1868.914145	2360.445187	0.580484263	0.343745054	0.817223471
868	0.22	557.299212	1809.66113	2366.960342	0.579705271	0.342964236	0.816446306
869	0.8	1238.763435	1132.930609	2371.694044	0.579138948	0.342396577	0.815881319
870	0.72	445.8144952	1937.064518	2382.879013	0.577799708	0.341054152	0.814545264
871	0.46	759.0609433	1648.835552	2407.896495	0.574798591	0.338045766	0.811551416
872	0.56	955.434158	1466.761501	2422.195659	0.573079768	0.336322697	0.809836839
873	0.51	890.4146824	1534.701588	2425.116271	0.572728387	0.33597044	0.809486333
874	0.58	-12.4218115	2454.248878	2441.827066	0.570715875	0.333952865	0.807478884
875	0.66	1375.858169	1067.282829	2443.140998	0.57055749	0.333794078	0.807320901
876	0.56	722.8842847	1720.594532	2443.478817	0.570516765	0.33375325	0.807280279
877	0.58	742.4504965	1701.46383	2443.914327	0.57046426	0.333700612	0.807227909
878	0.62	1059.543756	1406.096721	2465.640477	0.567842051	0.331071668	0.804612434
879	0.6	692.9209734	1772.729739	2465.650713	0.567840814	0.331070428	0.8046112
880	0.42	518.6533801	1947.453588	2466.106968	0.567785685	0.331015156	0.804556214
881	0.64	716.8287302	1749.329469	2466.1582	0.567779494	0.331008949	0.80455004
882	0.56	620.1238918	1848.164324	2468.288216	0.56752209	0.330750876	0.804293304
883	0.24	623.1078944	1852.147674	2475.255569	0.566679725	0.329906311	0.803453138
884	0.22	801.4383614	1693.691837	2495.130198	0.564273592	0.327493817	0.801053367
885	0.4	559.1546484	1950.075305	2509.229954	0.562563685	0.325779316	0.799348053
886	0.68	732.1249656	1802.810014	2534.93498	0.559440186	0.32264727	0.796233101
887	0.66	891.6970556	1650.594444	2542.291499	0.558544804	0.321749401	0.795340207
888	0.65	822.1805669	1732.38718	2554.567747	0.557049179	0.320249584	0.793848773
889	0.42	832.4019331	1725.115778	2557.517712	0.556689512	0.319888902	0.793490122
890	0.64	471.1523678	2088.577972	2559.73034	0.556419675	0.319618302	0.793221048
891	0.52	952.9334068	1614.141559	2567.074966	0.555523554	0.318719635	0.792327473
892	0.51	40.01473745	2530.378074	2570.392811	0.55511853	0.318313455	0.791923605
893	0.44	965.8577962	1607.416205	2573.274001	0.554766704	0.317960622	0.791572786
894	0.58	532.8474399	2047.180754	2580.028194	0.553941551	0.317133098	0.790750005
895	0.62	960.4620051	1619.733169	2580.195174	0.553921145	0.317112632	0.790729657
896	0.66	1066.35667	1515.407117	2581.763787	0.553729428	0.316920362	0.790538494
897	0.48	567.8692829	2017.754284	2585.623567	0.553257558	0.316447128	0.790067989
898	0.72	432.64567	2157.495605	2590.141275	0.552705029	0.315892995	0.789517064
899	0.41	764.8571794	1841.623267	2606.480446	0.550704673	0.313886778	0.787522568
900	0.63	1181.808421	1431.25709	2613.065511	0.549897587	0.313077304	0.786717869
901	0.89	729.3614966	1888.983109	2618.344605	0.549250193	0.312427985	0.786072401
902	0.35	618.1474955	2005.995745	2624.143241	0.548538707	0.311714373	0.785363041
903	0.67	808.0379889	1821.147283	2629.185272	0.547919732	0.311093539	0.784745924
904	0.34	1121.714417	1514.176975	2635.891392	0.547096003	0.310267325	0.783924681
905	0.34	760.7150804	1879.171491	2639.886571	0.546605014	0.309774848	0.78343518
906	0.4	465.339132	2174.889537	2640.228669	0.546562963	0.309732669	0.783393256
907	0.49	688.1014901	1962.429505	2650.530995	0.545295945	0.308461786	0.782130103
908	0.44	939.2657229	1716.32579	2655.591513	0.544673127	0.307837056	0.781509198
909	0.46	1055.692444	1609.712518	2665.404962	0.543464491	0.306624687	0.780304296
910	0.58	1071.248094	1605.001198	2676.249292	0.542127579	0.305283609	0.778971549
911	0.52	996.5020411	1706.25723	2702.759271	0.538853596	0.301999265	0.775707926
912	0.69	872.8793095	1839.955638	2712.834948	0.537607107	0.300748772	0.774465441
913	0.58	675.5959786	2043.326085	2718.922064	0.536853483	0.299992712	0.773714254
914	0.35	687.2861119	2032.86848	2720.154592	0.536700836	0.29983957	0.773562102
915	0.49	318.2848992	2402.186198	2720.471097	0.536661634	0.299800241	0.773523028
916	0.51	1345.153493	1391.319886	2736.473379	0.534678122	0.29781025	0.771545993
917	0.43	767.9520365	1972.056628	2740.008664	0.534239518	0.297370203	0.771108833
918	0.93	785.6148699	1963.129761	2748.744631	0.533155078	0.296282176	0.77002798
919	0.52	712.5890336	2065.662242	2778.251276	0.529485796	0.292600572	0.766371019
920	0.52	1110.179866	1683.481673	2793.661539	0.527565508	0.290673723	0.764457293
921	0.36	550.7679849	2243.358791	2794.126775	0.527507493	0.290615508	0.764399477
922	0.41	398.3072158	2403.237443	2801.544659	0.526582141	0.289686966	0.763477317
923	0.31	895.2015958	1929.331789	2824.533385	0.523710428	0.286805234	0.760615622
924	0.52	380.7246552	2444.599382	2825.324037	0.523611554	0.286706012	0.760517097
925	0.62	1046.557241	1778.77867	2825.335911	0.52361007	0.286704522	0.760515617
926	0.67	893.3661083	1935.060967	2828.427075	0.523223443	0.286316533	0.760130353
927	0.65	1341.629017	1496.433324	2838.062341	0.522017623	0.285106442	0.758928805
928	0.32	930.9382031	1927.342978	2858.281181	0.519483915	0.282563658	0.756404173
929	0.46	732.7620229	2137.187861	2869.949883	0.518019577	0.281094012	0.754945142
930	0.51	1041.398108	1834.395519	2875.793626	0.517285658	0.280357415	0.7542139
931	0.39	1326.111237	1560.352071	2886.463308	0.515944665	0.279011501	0.752877829
932	0.64	628.6993148	2268.23523	2896.934544	0.514627382	0.277689347	0.751565418
933	0.62	876.0261832	2039.409495	2915.435679	0.512296968	0.275350223	0.749243713
934	0.69	626.5998023	2288.899286	2915.499088	0.512288974	0.275342199	0.749235749
935	0.76	111.7221738	2819.066116	2930.78829	0.510360274	0.273406203	0.747314345
936	0.43	455.6364645	2506.382273	2962.018738	0.506412643	0.269443391	0.743381894
937	0.47	829.908419	2132.977638	2962.886057	0.506302858	0.26933318	0.743272537
938	0.33	1032.808159	1936.284905	2969.093064	0.505516943	0.2685442	0.742489686
939	0.9	1357.637596	1613.779735	2971.417331	0.505222542	0.268248649	0.742196436
940	0.41	1009.495309	1970.75116	2980.24647	0.504103673	0.267125388	0.741081959
941	0.31	1314.170015	1667.080929	2981.250944	0.503976328	0.266997541	0.740955115
942	0.66	1009.53811	1988.390653	2997.928763	0.501860348	0.264873177	0.738847519
943	0.58	1183.285374	1816.227647	2999.513021	0.50165919	0.264671217	0.738647164
944	0.49	1050.267991	1960.646964	3010.914956	0.500210656	0.263216881	0.73720443
945	0.57	902.9734677	2115.046812	3018.02028	0.499307266	0.26230985	0.736304681
946	0.36	725.4028836	2310.129584	3035.532467	0.497078403	0.26007193	0.734084875
947	0.57	1010.013289	2028.202163	3038.215452	0.496736635	0.259728764	0.733744506
948	0.63	1316.854128	1722.431459	3039.285587	0.496600296	0.259591867	0.733608726
949	0.57	1063.565577	2001.845079	3065.410657	0.493268082	0.256245879	0.730290285
950	0.46	863.6136624	2205.917996	3069.531658	0.492741791	0.255717391	0.729766191
951	0.24	595.8548602	2482.743081	3078.597942	0.491583305	0.254554048	0.728612562
952	0.5	1790.130983	1291.367997	3081.49898	0.491212428	0.25418161	0.728243246
953	0.55	1473.255942	1620.831771	3094.087713	0.489602016	0.252564385	0.726639647
954	0.39	1305.402926	1819.434531	3124.837458	0.485661341	0.248606804	0.722715878
955	0.5	1182.447495	1946.085571	3128.533066	0.48518707	0.248130476	0.722243664
956	0.48	1018.965106	2111.616017	3130.581123	0.484924174	0.247866437	0.72198191
957	0.59	1483.980637	1699.792043	3183.77268	0.478081023	0.24099303	0.715169017
958	0.47	910.3291036	2276.915396	3187.2445	0.477633352	0.240543344	0.71472336
959	0.52	1619.645328	1567.681093	3187.326421	0.477622788	0.240532732	0.714712843
960	0.45	1250.002599	1962.892782	3212.895381	0.474321983	0.237216941	0.711427026
961	0.27	1199.997136	2021.915887	3221.913023	0.473156262	0.236045871	0.710266653
962	0.28	1049.789423	2193.863653	3243.653077	0.470342495	0.233219074	0.707465916
963	0.5	916.8764439	2348.000427	3264.876871	0.467590925	0.230454597	0.704727253
964	0.42	793.6362282	2473.16396	3266.800188	0.467341351	0.230203844	0.704478858
965	0.61	1279.555056	2002.48848	3282.043535	0.465362023	0.228215121	0.702508925
